period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
7/1/22,7/31/22,30,national,11,1400,t, National,National,U.S.,US,Townhouse,13,356663.1492,-0.015859091,0.071990837,359159.7676,-0.005449025,0.090961833,222.141932,-0.014067445,0.087882186,223.5542531,-0.010524705,0.103709671,48886.84944,-0.038452297,-0.187392204,47591.79548,-0.024118524,-0.164442089,60455.09376,-0.049362076,-0.139190542,100912.4674,0.078367975,0.216662244,2.081143591,0.116996737,0.675777625,26.06283611,3,9,1.007004901,-0.007462368,-0.007822633,0.422909191,-0.045794615,-0.058866943,0.152720209,0.01436539,0.060009029,0.388743266,-0.061892386,-0.156298074,,,9/24/23 0:00
6/1/17,6/30/17,30,national,11,1400,t, National,National,U.S.,US,Single Units Only,-2,265244.5128,0.011546532,0.069888531,277461.6339,0.001952821,0.052809481,142.9181104,0.001877744,0.068569587,147.2002502,-0.001138664,0.051446358,519683.6995,-0.00218292,0.021675729,433020.3514,-0.003583114,0.068113063,603995.3495,-0.027820449,0.000919725,1552269.904,-0.001389823,-0.095472128,2.994559727,-0.094092953,-0.455430375,44.58605149,0,-7,0.981507443,0.000302319,0.003123017,0.246819491,0.002521222,0.021794225,0.118315116,0.001846381,-0.005732852,0.37946453,-0.00025655,0.026605813,,,9/24/23 0:00
1/1/19,1/31/19,30,national,11,1400,t, National,National,U.S.,US,All Residential,-1,284398.5373,0.006681549,0.029623538,300341.325,0.008768863,0.03651136,154.4608892,0.013330868,0.039711026,161.2112244,0.012586512,0.044080631,492951.0907,0.002096753,-0.071568658,429318.5193,0.002081438,-0.031599743,635416.1005,0.047839404,0.048289408,1615676.6,0.006098485,0.088972328,3.432234025,0.155636436,0.574910787,44.0727266,0,2,0.98223305,-0.000529258,-0.003538012,0.220513628,-0.00442312,-0.033933527,0.148701275,0.017804232,0.030794239,0.36629957,0.002085691,-0.035714526,,,9/24/23 0:00
2/1/19,2/28/19,30,national,11,1400,t, National,National,U.S.,US,Condo/Co-op,3,250603.8621,0.01242537,0.014197918,270090.9274,0.001267697,0.054227506,213.467439,-0.000421334,0.021280362,231.5469741,-0.008361777,0.054830658,55742.05261,0.046721507,-0.058676467,47901.06403,-0.002956085,-0.113182172,69519.38177,-0.021399506,-0.032744103,182253.9765,0.004034982,0.15245228,3.450414386,0.032837754,0.626739473,42.8038437,0,6,0.97857814,-0.001376524,-0.006391299,0.17707733,-0.014077739,-0.06660519,0.125516206,-0.00212412,0.020512182,0.341363842,-0.01682744,-0.080809843,,,9/24/23 0:00
8/1/21,8/31/21,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,396323,-0.00120958,0.168883578,404296,-0.006180269,0.049822391,174,0.011498494,0.1497278,177,-0.00586593,0.046772433,14561,-0.006517416,0.387704525,15068,0.002122934,0.251868567,18790,-0.064561374,0.048871327,38451,0.002793739,0.110690869,2.640630727,0.024518824,-0.658590787,23,2,-10,0.993914606,-0.006385185,0.018777632,0.414875565,-0.021799482,0.119680181,0.109444569,0.004515082,-0.00991171,0.402446007,-0.030485973,-0.06763014,,,9/24/23 14:20
1/1/13,1/31/13,30,national,11,1400,f, National,National,U.S.,US,All Residential,-1,179921,-0.069663479,0.131107316,198273,0.110101563,0.080954349,100,-0.04972085,0.108245558,109,0.084459956,0.06772219,308551,-0.204246088,0.128281462,228162,0.100867826,0.212737737,489431,0.645092074,0.015790635,1695969,0.008176977,-0.184410778,5.496552645,1.158124601,-2.107346828,79,3,-17,0.967898583,-0.000803542,0.011803098,0.210286615,0.00122904,0.036397351,0.06025564,0.015638359,-0.006465443,0.332635514,0.065765384,0.066335904,,,9/24/23 14:20
7/1/17,7/31/17,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,238836,0.006712197,0.059294208,245642,-0.018256939,0.050499413,201,-0.001015774,0.042798314,210,-0.01008313,0.046788233,65040,-0.155809979,0.003719444,57153,-0.090853105,0.070511048,73111,-0.126852618,-0.015327669,172535,-0.009471469,-0.128632264,2.652733129,0.391908967,-0.402922607,34,-1,-6,0.985111499,-0.000822612,0.004536609,0.254218849,-0.009762139,0.031936157,0.100065624,0.001406449,-0.003569531,0.38266763,-0.025338723,0.035434257,,,9/24/23 14:20
3/1/20,3/31/20,30,national,11,1400,t, National,National,U.S.,US,Condo/Co-op,3,271622.1794,0.008837228,0.087450956,272205.5084,-0.023338305,0.006836925,234.7295252,0.012023883,0.095487304,241.4070131,-0.011280975,0.034972533,54571.31061,-0.102432512,-0.006922838,42599.42738,-0.187996601,-0.137614525,58578.04114,-0.174376647,-0.159076435,171845.3176,0.007390326,-0.059608068,3.175609711,0.42188447,-0.151681529,39.64848004,-3,-5,0.982410458,-9.56E-05,0.004292185,0.21032302,0.007718223,0.028827437,0.112681301,0.004924349,-0.016595001,0.355826151,-0.005901198,-0.000677702,,,9/24/23 0:00
11/1/21,11/30/21,30,national,11,1400,t, National,National,U.S.,US,Townhouse,13,339479.7363,0.005892782,0.133321834,343078.4799,0.014701416,0.124529641,211.6181879,0.014598073,0.169322498,211.765031,0.014420578,0.134246234,64579.03337,0.037694553,0.009622158,62613.21634,-0.001490827,0.030334049,67832.61072,0.011618726,-0.001740489,76309.31961,-0.026323691,-0.188558216,1.141516351,-0.125459625,-0.291304405,20.14929269,0,-6,1.009748257,-0.00027353,0.009404502,0.478644574,-0.001746284,0.101198415,0.083885395,-0.005507038,-0.01256063,0.550072606,0.02056941,0.050899655,,,9/24/23 0:00
6/1/14,6/30/14,30,national,11,1400,t, National,National,U.S.,US,Single Units Only,-2,216799.0883,0.006427306,0.061267502,230647.854,0.001295,0.071104884,117.4056748,0.000479253,0.057335494,123.7235331,-0.002717465,0.052299356,431627.248,0.008470752,-0.018333422,333989.1758,-0.046577181,0.032655699,577297.8295,-0.002741454,0.056113467,1896989.078,0.017884845,0.050012932,4.41688906,0.044548125,0.212635931,58.93394566,-2,-4,0.97192564,0.000110258,-0.00304495,0.191653729,-0.003260542,-0.033689641,0.08832506,-0.006107259,0.035528736,0.318478515,0.011935895,-0.004955311,,,9/24/23 0:00
